pdf,chunk_index,text,char_count,SDG,region,country
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,223,"Länderkapitel  |  75 Menschenrechtsaktivistinnen und -aktivisten, die in Landkonflikten Position beziehen oder die Verletzung von Indigenenrechten anprangern, Aus Kreisen evangelikaler Fundamentalisten werden immer wieder Übergriffe auf religiöse und sexuelle Minderheiten bekannt. LGBTIQ+ Personen werden auch aus religiöser Motivation beleidigt und angegriffen. Der zunehmende Einfluss evangelikaler Fundamentalisten erschwert es Anhängerinnen und Anhängern afrobrasilianischer Religionen, ihren Glauben öffentlich auszuüben.",538,"10.2, 10.3, 16.1, 16.10",Latin America,Brazil
menschenrechtsleitfaden-2026.pdf,46,"2 Vermeidung menschenrechtlicher Risiken  |  19 2.4 Unfreiwillige Umsiedlungen Unfreiwillige Umsiedlungen sind behördlich unter Androhung von Zwang angeordnete Umsiedlungen. Dabei können sich die betroffenen Personen dem Landerwerb und/oder den Einschränkungen bei der Nutzung natürlicher Ressourcen nicht widersetzen. Sie können als „physische Umsiedlungen“ (Verlust von Wohnstätten) und als „ökonomische Umsiedlungen“ (Verlust von Land, Zugang zu natürlichen Ressourcen, Lebensgrundlagen) vorkommen.",511,"11.1, 16.3, 16.8",Global,
indigene-spiritualitaet-als-menschenrechtsthema.pdf,294,"Position, die dem Glaubensgewissen jedes einzelnen Menschen zu viel Raum gebe: „It may fairly be said that leaving accommodation to the political process will place at a relative disadvantage those religious practices that are not widely engaged in; but that unavoidable consequence of democratic government must be preferred to a system in which each conscience is a law unto itself or in which judges weigh the social importance of all laws against the centrality of all religious beliefs.”195",501,"10.2, 16.3",Global,
indigene-spiritualitaet-als-menschenrechtsthema.pdf,3,"Paola Tamayo Kohleabbau in Kolumbien: Der Kampf des Volkes gegen den Extraktivismus, Wayuu-Frauen im Widerstand..................25 2 Heiner Bielefeldt und Volker von Bremen Indigene Völker und ihr Recht auf Religions- und Weltanschauungsfreiheit. Ethnologische und menschenrechtspolitische Grundlagen ...................................... 52",627,,,
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,206,"für die Nutzung von seinerzeit durch die sowjetischen Behörden beschlagnahmten Gottesdienststätten sind außergewöhnlich hoch. Die römisch-katholische Kirche sowie protestantische Gemeinschaften kritisieren, Arbeitserlaubnisse für ausländische Priester würden restriktiv und allenfalls für wenige Monate vergeben. Die Belarussisch-Orthodoxe Kirche genießt eine Reihe symbolischer und wirtschaftlicher Privilegien. Orthodoxen Kirchen, die nicht dem Patriarchat von Moskau unterstehen, wird die Registrierung verweigert, darunter der Autokephalen Belarussisch-Orthodoxen Kirche und der „Wahren Orthodoxen Kirche“.",619,,,
bmz-umwelterklaerung-2024-bf.pdf,126,"50  |  Aktualisierte Klima- und Umwelterklärung 2024 der Erhöhung des Restabfalls von circa 3 Tonnen. Der Wert liegt aber immer noch deutlich unter dem Wert des branchenspezifischen Referenzpapiers von 200 kg/ VZÄ. Der Restmüll ist im Jahr 2023 gegenüber dem Vorjahr 2022 um 46,9 Prozent gestiegen. Das Ziel, im Jahr 2023 das Restmüllaufkommen von 2019 um 6 Prozent zu reduzieren, konnte jedoch mit einer Erhöhung von 11,8 Prozent nicht erfüllt werden. Aus diesem Grund müssen weitere Maßnahmen zur Reduzierung des Restmülls entwickelt werden, um eine Trendwende einzuleiten und zu verstetigen. Für 2024 wird eine Reduzierung des Restmüllaufkommens um 7,5 Prozent gegenüber 2019 angestrebt.",700,,,
bmz-umwelterklaerung-2024-bf.pdf,79,"32  |  Aktualisierte Klima- und Umwelterklärung 2024 Die dargestellte THG-Bilanz gliedert sich in die verschiedenen betrachteten THG-Emissionsquellen aufgeschlüsselt nach den drei Kategorien Primärenergieträger wie Erdgas, Heizöl, Kraftstoffe und Kältemittel (Scope 1), Energiebezug von Strom und Fernwärme (Scope 2) sowie Weitere THG-Emissionen (Scope 3). Bei der Berechnung der CO2eq der Kategorien Primärenergieträger und Energiebezug wurden neben den THG-Emissionen nach Scope 1 und 2 auch vorgelagerte THG-Emissionen aus Scope 3 berücksichtigt (Kategorie 3: Brennstoff- und energiebezogene Emissionen). Die detaillierte Bilanz des Jahres 2023 kann dem Anhang entnommen werden.",689,,,
indigene-spiritualitaet-als-menschenrechtsthema.pdf,216,"122 Charakteren, Potentialen, Launen und Bedingungen für die Pflege einer reziproken Beziehung mit den Menschen. Das Territorium ist somit auch Ausdruck eines weit gefächerten Netzwerkes materieller wie spiritueller Beziehungen der Menschen mit ihrer Um-/Mitwelt. Und so wie die Existenz des Menschen und der spirituellen Welt vom Territorium abhängt, ist auch umgekehrt die Existenz des Territoriums mit all seinen konkreten Prägungen gebunden an das Leben und die fortwährende Pflege dieses Netzwerkes von Menschen und spiritueller Welt.",552,,,
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,53,"1.5 Landkonflikte und die Religionsfreiheit indigener Völker Viele politische und juristische Auseinanderset zungen um die Rechte indigener Völker beziehen sich auf Landkonflikte. So hielt die VN-Sonderberichterstatterin für die Rechte indigener Völker (2014–2020), Victoria Tauli-Corpuz, fest, dass landbezogene Ansprüche unter den Beschwerden Indigener einen herausragenden Platz einnehmen.35 Ähnliches gilt für die Berichte zivilgesellschaftli cher Organisationen wie die der Gesellschaft für bedrohte Völker,36 der International Workgroup for Indigenous Affairs (IWGIA),37 Survival International38 oder der Minority Rights Group39. Landrechte sind für die Menschenrechte indigener Völker grundlegend.40",717,,,
materialie295-textilbuendnis.pdf,42,28  |  Nachhaltige Textilien – Eine Frage der Verantwortung! Nationaler Aktionsplan Wirschaft und Menschenrechte Das Lieferkettensorgfaltspflichtengesetz in Deutschland Die Bundesregierung hat im Nationalen Aktionsplan Wirtschaft und Menschenrechte 2016 neben den Pflichten des Staates erstmals auch die Verantwortung von deutschen Unternehmen für die Achtung der Menschenrechte verankert und konkrete Erwartungen an die Umsetzung der Sorgfaltspflichten durch die Privatwirtschaft formuliert.,502,"8.7, 8.8, 12.6",Europe,Germany
